SubjectName,4,7,10,13,16,19,22,28
E002473,0,1,0,0,1,0,0,0
E002681,0,1,0,1,0,0,0,0
E004781,0,0,0,1,0,1,1,0
E007303,0,0,0,0,0,1,0,0
E007743,0,0,0,0,0,0,0,1
E007980,1,0,0,0,0,0,0,0
E008437,0,0,0,1,0,0,0,0
E008643,1,0,0,0,0,0,0,0
E012115,0,0,1,0,0,0,0,0
E012124,0,1,1,0,0,1,0,0
E012393,0,0,0,0,0,0,1,0
E012678,0,0,1,0,0,1,0,0
E013394,0,0,0,1,0,0,0,0
E015378,0,0,0,1,0,0,0,0
E015991,0,0,1,0,0,0,0,1
E016148,0,0,0,1,0,0,0,0
E016444,0,0,0,0,1,1,0,1
E016870,1,0,1,0,0,1,1,0
E017049,1,0,0,0,0,1,0,0
E017715,0,0,1,0,0,0,1,1
E018574,0,0,0,1,0,0,0,1
E019187,1,0,0,0,0,1,0,0
E019349,0,0,0,0,0,0,0,1
E019793,1,0,0,1,0,0,0,0
E020781,1,1,1,0,0,0,0,0
E020808,0,1,0,1,0,0,1,1
E022083,0,1,0,0,0,0,0,0
E022960,0,0,0,1,0,1,0,1
E023535,0,0,0,0,0,0,1,0
E023705,1,0,0,0,0,0,0,0
E024240,0,0,0,0,1,0,0,0
E024646,1,0,0,0,0,1,0,0
E029796,0,0,0,0,0,0,0,1
E031941,0,0,0,0,1,1,1,1
E033036,1,0,0,0,0,0,1,0
E034885,0,0,0,1,0,1,0,0
P000648,0,0,0,1,0,0,0,1
P001363,0,0,0,0,0,1,0,0
P003173,0,0,0,1,0,0,0,1
P004113,0,1,0,0,1,0,0,0
P004230,0,0,0,0,0,0,1,0
P005135,0,0,1,1,0,0,1,0
P005558,0,1,0,1,0,0,0,1
P006035,0,0,0,0,0,0,1,0
P007649,1,0,1,0,0,0,0,0
P008579,0,1,0,0,0,0,0,0
P009291,1,0,0,0,0,0,1,0
P009746,1,0,0,0,0,1,0,1
P010096,1,0,1,0,0,0,1,0
P010322,0,1,0,0,0,0,0,0
P013701,0,1,0,0,0,0,0,0
P013823,1,0,0,0,0,0,0,0
P013960,0,0,1,1,0,0,0,0
P014713,0,0,1,0,0,0,0,0
P014839,0,0,0,0,0,0,0,1
P015163,0,0,0,0,0,1,0,0
P016803,0,0,0,0,0,1,0,0
P017671,0,0,0,0,1,0,0,0
P019475,1,0,0,0,0,0,1,0
P021772,0,0,0,1,0,0,0,0
P022130,0,0,0,0,0,0,0,1
P022384,0,0,0,1,0,0,0,1
T000094,0,1,1,0,1,0,0,0
T000272,0,1,0,0,0,0,0,0
T000461,0,1,0,0,1,0,1,0
T002534,1,0,1,0,0,0,0,0
T003353,0,0,0,1,0,0,0,1
T003950,1,1,0,0,0,0,1,0
T004341,0,0,0,0,0,0,1,0
T005643,0,1,1,0,0,0,0,0
T005999,0,0,0,0,1,0,0,0
T006266,0,1,1,0,0,0,0,1
T007748,0,0,0,0,1,0,0,0
T008025,0,0,0,1,0,0,0,0
T008246,0,0,1,0,0,0,0,0
T008631,0,0,0,0,0,0,0,1
T011676,0,1,0,1,1,1,0,0
T012121,0,0,0,1,0,0,0,0
T012138,0,0,0,0,0,0,1,1
T012312,0,0,0,1,0,1,0,0
T012374,0,0,1,0,0,0,0,0
T012983,0,0,1,0,0,0,1,1
T013832,1,0,0,0,1,0,1,0
T014575,0,0,0,0,0,1,0,0
T014827,0,0,0,1,1,0,1,0
T016811,1,0,1,0,0,0,0,0
T016812,1,0,0,0,0,0,1,0
T016834,0,0,0,0,0,0,0,1
T017394,0,0,0,1,0,1,0,0
T017419,1,0,0,0,0,1,0,0
T019021,1,1,0,0,0,0,0,0
T019031,1,0,0,0,1,0,0,0
T019853,0,1,1,0,0,1,0,0
E002338,0,0,0,0,1,0,0,0
E004934,1,0,0,0,0,1,0,0
E009667,0,0,0,0,0,1,0,0
E009676,0,0,1,0,0,0,0,0
E011183,0,1,0,0,0,1,0,1
E015208,1,0,1,0,0,1,0,0
E018421,0,0,0,0,0,1,0,0
E023681,0,0,0,0,0,1,0,0
E025912,0,0,0,0,1,0,0,0
E030828,0,0,0,0,0,1,1,1
E032745,0,1,0,0,0,0,0,0
P005279,0,1,0,0,0,0,0,0
P010936,0,0,0,0,0,1,0,0
P015091,0,0,0,0,0,0,0,1
P018832,0,0,0,0,0,0,0,1
P022222,0,0,1,0,0,0,0,0
T005507,0,0,0,0,1,0,0,0
T006288,1,0,0,0,0,0,0,1
T010520,0,1,1,0,0,0,0,0
T010532,0,0,0,0,1,0,1,0
T012389,1,1,0,0,0,0,0,0
T014197,0,1,0,1,0,0,0,0
T018343,0,0,0,0,0,1,0,0
T019852,0,0,1,0,0,0,0,0
